Index,Title,Tags,Type,Language,Seasons,Z0XM,Imtiyaz,Lights,Legend,DeadPoOl,AvgRating
439,Zom 100 -  Bucket List of the Dead,"Drama, Comedy, Sci-Fi, Gods & Demons",Animated Series,Japanese,1,,9,,,,9
436,Beelzebub,"Comedy, Feel Good, Fantasy, Classic, Gods & Demons, Magic",Animated Series,Japanese,1,,8.5,,,,8.5
434,Uncanny Counter,"Comedy, Action, Fantasy, Gods & Demons, SuperPowers",Series,Korean,2,,9,,,,9
433,Pitchers,"Drama, Comedy",Series,Hindi,2,,,,9,9,9
432,I Was Reincarnated as the 7th Prince,"Comedy, Feel Good, Action, Fantasy, Magic, Isekai",Animated Series,Japanese,1,,8.5,,,,8.5
431,Laid Back Camp,"Drama, Life, Feel Good",Animated Movie,Japanese,,,8.5,,,,8.5
430,My Dress up Darling,"Drama, Romance, Feel Good",Animated Series,Japanese,1,,8.5,,,,8.5
428,Bartender - Glass of God,"Drama, Life",Animated Series,Japanese,1,,8,,,,8
426,Clean Freak Aoyama Kun,"Drama, Comedy, Life, Feel Good",Animated Series,Japanese,1,,8,,,,8
424,Dororo,"Drama, Life, Action, Fantasy, Mystery, Gods & Demons",Animated Series,Japanese,1,,8,,,,8
423,Miss Koboyashi's Dragon Maid,"Drama, Comedy, Life, Feel Good, Fantasy, Magic",Animated Series,Japanese,1,,8,,,,8
422,The Newsroom,"Drama, Dark Comedy",Series,English,3,,8.5,,,,8.5
421,My Name,"Drama, Life, Action, Thriller, Mystery",Series,Korean,1,,8.5,,,,8.5
420,Bloodhounds,"Drama, Action, Thriller, Mystery",Series,Korean,1,,8.5,,,,8.5
419,Suicide Squad Isekai,"Comedy, Action, Fantasy, Sci-Fi, Gods & Demons, Magic",Animated Series,Japanese,1,,8,,,,8
418,Undead Unluck,"Comedy, Action, Fantasy, Different, Gods & Demons, Magic, SuperPowers",Animated Series,Japanese,1,,8,,,,8
417,Wind Breaker,"Drama, Action",Animated Series,Japanese,1,,8,,,,8
416,Beyond the Boundary,"Romance, Action, Fantasy, Gods & Demons, Magic",Animated Series,Japanese,1,,8,,,,8
414,The Queen's Gambit,"Drama, Thriller, History",Series,English,1,,8,,8.5,,8.25
413,Go Go Loser Rangers,"Drama, Comedy, Action, Sci-Fi, Mystery, SuperPowers",Animated Series,Japanese,1,,7.5,,,,7.5
412,Himouto! Umaru-Chan R ,"Drama, Comedy, Life, Feel Good",Animated Series,Japanese,1,,7.5,,,,7.5
411,Skeleton Knight in another world,"Comedy, Action, Fantasy, Magic, Isekai",Animated Series,Japanese,1,,7.5,,,,7.5
410,Thermae Romae,"Drama, Fantasy, History",Animated Movie,Japanese,,,7.5,,,,7.5
